家	k a˥˨
顏	ŋʱ ɛ˩˩˧
櫻	ʔ ã˥˨
孝	h ɔ˧˧˥
學	ʱoʔ˨
物	mʱ əʔ˨
網	mʱ ɑ ŋ˩˩˧
鳳	b o ŋ˩˩˧
肥	b i˩˩˧
日	ȵʱ iɪʔ˨
人	ȵʱ i n˩˩˧
鳥	t iɔ˧˧˥
其 	ɦ i 
勒 	l e
門	m ə ŋ
口	kʰ ɤɯ
頭 	d ɤɯ
立 	l ɪʔ
勒	l ɐˑ
許	h e
許	h e
汏	d a
囥	k ɔ ŋ
隑	ɡ e
廿	n e
弗	v ə
勿	v ə
那	n a
洗	s i
藏	 z ɔ ŋ
斜	ʑ̊ ia
靠	kʰ ɔ
二	ə l
十	s ɐʔ
不	pʰ ə
立	l iɪʔ
站	l iɪʔ
囡	n ø
睏	kʰ w ə ŋ
睡 	kʰ w ə ŋ
尋	ʑ̊ i ɲ
找	ʑ̊ i ɲ
戇	ɡ ɔ ɲ
揎	ɕ yø
逐	ts oʔ
追	ts oʔ
焐	u
肯	kʰ ə ɲ
事	z̥ z
體	tʰ i
歡	h ø
喜	ɕ i
物	m əʔ
鑊	ɦ ɔʔ
子	ts ɨ
鍋	ɡ u
衣	i
裳	z ã
服	v oʔ
