confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,46124,{},,m Xhosa (GM),46124,46124
,,,,46186,{},,i Xhosa (GM),46186,46186
,,,,46179,{},,a Xhosa (GM),46179,46179
,,,,46188,{},,j Xhosa (GM),46188,46188
,,,,46195,{},,u Xhosa (GM),46195,46195
,,,,46197,{},,w Xhosa (GM),46197,46197
,,,,46191,{},,n Xhosa (GM),46191,46191
,,,,46146,{},,s Xhosa (GM),46146,46146
,,,,46141,{},,o Xhosa (GM),46141,46141
,,,,46183,{},,e Xhosa (GM),46183,46183
,,,,46130,{},,l Xhosa (GM),46130,46130
,,,,46187,{},,h Xhosa (GM),46187,46187
,,,,46168,{},,ŋ Xhosa (GM),46168,46168
,,,,46194,{},,ɲ Xhosa (GM),46194,46194
,,,,46185,{},,f Xhosa (GM),46185,46185
,,,,46177,{},,ɛ Xhosa (GM),46177,46177
,,,,46174,{},,ɔ Xhosa (GM),46174,46174
,,,,46122,{},,ʃ Xhosa (GM),46122,46122
,,,,46198,{},,˦ Xhosa (GM),46198,46198
,,,,46169,{},,˨ Xhosa (GM),46169,46169
,,,,46152,{},,x Xhosa (GM),46152,46152
,,,,46150,{},,kʰ Xhosa (GM),46150,46150
,,,,46181,{},,pʰ Xhosa (GM),46181,46181
,,,,46172,{},,ɓ Xhosa (GM),46172,46172
,,,,46133,{},,tʰ Xhosa (GM),46133,46133
,,,,46158,{},,kʼ Xhosa (GM),46158,46158
,,,,46131,{},,t̠ʃʰ Xhosa (GM),46131,46131
,,,,46139,{},,t̠ʃʼ Xhosa (GM),46139,46139
,,,,46170,{},,tʼ Xhosa (GM),46170,46170
,,,,46190,{},,pʼ Xhosa (GM),46190,46190
,,,,46189,{},,ɬ Xhosa (GM),46189,46189
,,,,46193,{},,tsʼ Xhosa (GM),46193,46193
,,,,46202,{},,tsʰ Xhosa (GM),46202,46202
,,,,46178,{},,cʰ Xhosa (GM),46178,46178
,,,,46120,{},,b̤ Xhosa (GM),46120,46120
,,,,46176,{},,cʼ Xhosa (GM),46176,46176
,,,,46165,{},,m̤ Xhosa (GM),46165,46165
,,,,46164,{},,ɡ̤ Xhosa (GM),46164,46164
,,,,46125,{},,d̤ Xhosa (GM),46125,46125
,,,,46159,{},,kǃ Xhosa (GM),46159,46159
,,,,46162,{},,kǀ Xhosa (GM),46162,46162
,,,,46182,{},,n̤ Xhosa (GM),46182,46182
,,,,46154,{},,ŋǃ Xhosa (GM),46154,46154
,,,,46161,{},,kǁ Xhosa (GM),46161,46161
,,,,46196,{},,kǃʰ Xhosa (GM),46196,46196
,,,,46148,{},,kǀʰ Xhosa (GM),46148,46148
,,,,46153,{},,kǁʰ Xhosa (GM),46153,46153
,,,,46173,{},,ŋǀ Xhosa (GM),46173,46173
,,,,46134,{},,ŋǁ Xhosa (GM),46134,46134
,,,,46192,{},,ɲ̤ Xhosa (GM),46192,46192
,,,,46136,{},,kxʰ Xhosa (GM),46136,46136
,,,,46163,{},,v̤ Xhosa (GM),46163,46163
,,,,46157,{},,kǀʼ Xhosa (GM),46157,46157
,,,,46199,{},,kxʼ Xhosa (GM),46199,46199
,,,,46203,{},,ɡ̤ǃ Xhosa (GM),46203,46203
,,,,46200,{},,ɟ̤ Xhosa (GM),46200,46200
,,,,46121,{},,m̤b̤ Xhosa (GM),46121,46121
,,,,46132,{},,ɦ̤ Xhosa (GM),46132,46132
,,,,46142,{},,ntsʼ Xhosa (GM),46142,46142
,,,,46145,{},,n̤d̤ Xhosa (GM),46145,46145
,,,,46151,{},,n̠t̠ʃʼ Xhosa (GM),46151,46151
,,,,46129,{},,n̤d̤ɮ̤ Xhosa (GM),46129,46129
,,,,46166,{},,z̤ Xhosa (GM),46166,46166
,,,,46184,{},,ŋ̤ǃ Xhosa (GM),46184,46184
,,,,46123,{},,ntʼ Xhosa (GM),46123,46123
,,,,46171,{},,ɣ̤ Xhosa (GM),46171,46171
,,,,46127,{},,ŋ̤ǀ Xhosa (GM),46127,46127
,,,,46149,{},,mpfʼ Xhosa (GM),46149,46149
,,,,46175,{},,ɡ̤ǀ Xhosa (GM),46175,46175
,,,,46128,{},,n̤d̤z̤ Xhosa (GM),46128,46128
,,,,46143,{},,ɮ̤ Xhosa (GM),46143,46143
,,,,46147,{},,n̠̤d̠̤ʒ Xhosa (GM),46147,46147
,,,,46201,{},,ŋ̤ɡ̤ Xhosa (GM),46201,46201
,,,,46138,{},,mpʼ Xhosa (GM),46138,46138
,,,,46155,{},,ntlʼ Xhosa (GM),46155,46155
,,,,46167,{},,m̤b̤v̤ Xhosa (GM),46167,46167
,,,,46135,{},,d̠̤ʒ̤ Xhosa (GM),46135,46135
,,,,46126,{},,ɡ̤ǁ Xhosa (GM),46126,46126
,,,,46140,{},,ŋǁʼ Xhosa (GM),46140,46140
,,,,46137,{},,ŋǃʼ Xhosa (GM),46137,46137
,,,,46180,{},,ŋkʼ Xhosa (GM),46180,46180
,,,,46160,{},,ɲcʼ Xhosa (GM),46160,46160
,,,,46144,{},,ŋ̤ǁ Xhosa (GM),46144,46144
,,,,46156,{},,ɲ̤ɟ̤ Xhosa (GM),46156,46156
