IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill	˦	˨
a	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		
a˦	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
a˨	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+
b̤	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	+	-	-	-	+	-		-	-	-		
cʰ	k	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-		
cʼ	k	Body	-	-	-	+	+	-	+	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-		
d̠̤ʒ̤	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	+	-	+	-	-	-		
d̤	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-		
e	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		
e˦	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
e˨	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+
f	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-		
h	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-		
i	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		
i˦	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
i˨	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+
j	j	Body		+	-	-	-	+	-		+	-	-	-	-	-	-	-	+	-	-	+	-	-		-	-	-		
kxʰ	cç	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-		
kxʼ	cç	Body		-	-	+	+	-	-		+	-	-	-	-	-	-	-	-	+	-	-	-	-		-	-	-		
kǀ	ǃ	Tip	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
kǀʰ	ǃ	Tip	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-		
kǀʼ	ǃ	Tip	+	-	+	+	+	-	+	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-		
kǁ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
kǁʰ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-		
kǃ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
kǃʰ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-		
kʰ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-		
kʼ	k	Body		-	-	+	+	-	-		+	-	-	-	-	-	-	-	-	+	-	-	-	-		-	-	-		
l	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	+	-	-	-	-	-	-		
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-		
mpfʼ	pf	Lips		-	-	+	+	-	-		-	-	-	+	-	-	-	+,-	-	+	-	+,-	-	-		-	-	-		
mpʼ	p	Lips		-	-	+	+	-	-		-	-	-	+	-	-	-	+,-	+,-	+	-	+,-	-	-		-	-	-		
m̤	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	+	-		-	-	-		
m̤b̤	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+,-	+	-	-	+,-	+	-		-	-	-		
m̤b̤v̤	pf	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+,-	+	-	-	+,-	+	-		-	-	-		
n	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-		
ntlʼ	t	Tip	+	-,+	-	+	+	-,+	+	-	-	-	-	-	-,+	-	-	+,-,-	+,-,+	+	-	+,-,+	-	-	-	-	-	-		
ntsʼ	ts	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	+,-	-	+	-	+,-	-	-	+	-	-	-		
ntʼ	t	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	+,-	+,-	+	-	+,-	-	-	-	-	-	-		
n̠t̠ʃʼ	ts	Tip	-	-	-	+	+	-	+	+	-	-	-	-	-	-	-	+,-	-	+	-	+,-	-	-	+	-	-	-		
n̠̤d̠̤ʒ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	+,-	+	-	-	+,-	+	-	+	-	-	-		
n̤	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	+	-	-	-	-	-		
n̤d̤	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+,-	+	-	-	+,-	+	-	-	-	-	-		
n̤d̤z̤	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+,-	+	-	-	+,-	+	-	+	-	-	-		
n̤d̤ɮ̤	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	+	-	-	+,-	+	-	-	+,-	+	-	-	-	-	-		
o	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		
o˦	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
o˨	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		+
pʰ	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	+	-		-	-	-		
pʼ	p	Lips		-	-	+	+	-	-		-	-	-	+	-	-	-	-	-	+	-	-	-	-		-	-	-		
s	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-		
tsʰ	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-		
tsʼ	ts	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-		
tʰ	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-		
tʼ	t	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-		
t̠ʃʰ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-		
t̠ʃʼ	ts	Tip	-	-	-	+	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-		
u	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		
u˦	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
u˨	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		+
v̤	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	+	-	-	-	+	-		-	-	-		
w	w	Lips		+	-	-	-	+	-		+	-	-	+	-	-	-	-	+	-	-	+	-	-		-	-	-		
x	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
z̤	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	+	-	+	-	-	-		
ŋ	ŋ	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+	+	-	-	+	-	-		-	-	-		
ŋkʼ	k	Body		-	-	+	+	-	-		+	-	-	-	-	-	-	+,-	+,-	+	-	+,-	-	-		-	-	-		
ŋǀ	ǃ	Tip	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-		
ŋǁ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-		
ŋǁʼ	ǃ	Tip	+	-	+	+	+	-	+	-	+	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-		
ŋǃ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-		
ŋǃʼ	ǃ	Tip	+	-	+	+	+	-	+	-	+	-	-	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-		
ŋ̤ǀ	ǃ	Tip	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-		
ŋ̤ǁ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-		
ŋ̤ǃ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-		
ŋ̤ɡ̤	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+,-	+	-	-	+,-	+	-		-	-	-		
ɓ	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	+	-	+	-	-	-	-	-		-	-	-		
ɔ	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		
ɔ˦	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
ɔ˨	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		+
ɛ	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		
ɛ˦	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
ɛ˨	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+
ɟ̤	k	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-		
ɡ̤	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	+	-	-	-	+	-		-	-	-		
ɡ̤ǀ	ǃ	Tip	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-		
ɡ̤ǁ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-		
ɡ̤ǃ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-		
ɣ̤	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	+	-	-	-	+	-		-	-	-		
ɦ̤	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	+	-	-	-	+	-		-	-	-		
ɬ	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-		
ɮ̤	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	-	+	-	-	-	-	-		
ɲ	ŋ	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-		
ɲcʼ	k	Body	-	-	-	+	+	-	+	+	+	-	-	-	-	-	-	+,-	+,-	+	-	+,-	-	-	-	-	-	-		
ɲ̤	ŋ	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	+	+	-	-	-	-	-		
ɲ̤ɟ̤	k	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	+,-	+	-	-	+,-	+	-	-	-	-	-		
ʃ	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-		
