Language Name,ISO 639-3,ISO 639-1,Segments -,(Source),Orthography -,(Source),Pronlex -,(Source),Podcast Transcripts -,(Source),Swadesh Texts  -,(Source),Wikitexts -,(Source),FSTs
Ainu,ain,,Ainu/Ainu_segments.html,http://phoible.org/inventories/view/196,Ainu/Ainu_Katakana_wikipedia_symboltable.html;Ainu/Ainu_Latin_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Ainu_language,,,,,Ainu/Ainu_swadesh_list.html,https://en.wiktionary.org/wiki/Appendix:Paleosiberian_Swadesh_lists,,,models/ainu.fst(N/A)
Akan,aka,ak,Akan/Akan_segments.html,http://phoible.org/languages/aka,Akan/Akan_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Akan_language,Akan/CABCCAD_dict.html,https://www.academia.edu/19685614/A_phone_set_for_an_Akan_Text_to_Speech_System,,,,http://archive.phonetics.ucla.edu/Language/AKA/aka_word-list_1971_01.html,,http://ak.wikipedia.org,models/akan.fst(20.8)
Albanian,sqi,sq,Albanian/Albanian_segments.html,http://phoible.org/languages/als,Albanian/Albanian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Albanian_language,,,sbs-pages/20150418/albanian.html,http://www.sbs.com.au/yourlanguage/albanian,Albanian/Albanian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Albanian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sq/,http://sq.wikipedia.org,models/albanian.fst(N/A)
Amharic,amh,am,Amharic/Amharic_segments.html,http://phoible.org/languages/amh,Amharic/Amharic_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Amharic_language,,,sbs-pages/20150418/amharic.html,http://www.sbs.com.au/yourlanguage/amharic/,Amharic/Amharic_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/am/,http://am.wikipedia.org,models/amharic.fst(9.4)
Arabic,arb,ar,Arabic/Arabic_segments.html,,Arabic/Arabic_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Arabic_language,,,sbs-pages/20150418/arabic.html,http://www.sbs.com.au/yourlanguage/arabic?language=ar,Arabic/Arabic_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ar/,http://ar.wikipedia.org,models/arabic.fst(13.0)
Armenian,hye,hy,Armenian/Armenian_segments.html,http://phoible.org/languages/hye,Armenian/Armenian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Armenian_language,,,sbs-pages/20150418/armenian.html,http://www.sbs.com.au/yourlanguage/armenian/,Armenian/Armenian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Armenian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/hy/,http://hy.wikipedia.org,models/armenian.fst(24.3)
Assamese,asm,as,,http://phoible.org/languages/asm,Assamese/Assamese_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Assamese_language,,,,,,https://en.wikipedia.org/wiki/Indo-Iranian_languages,,http://as.wikipedia.org,models/assamese.fst(13.0)
Assyrian Neo-Aramaic,aii,,Assyrian-Neo-Aramaic/Assyrian-Neo-Aramaic_segments.html,,Assyrian-Neo-Aramaic/Assyrian-Neo-Aramaic_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Assyrian_Neo-Aramaic,,,sbs-pages/20150418/assyrian.html,http://www.sbs.com.au/yourlanguage/assyrian/,Assyrian-Neo-Aramaic/Assyrian-Neo-Aramaic_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,,,models/assyrian-neo-aramaic.fst(N/A)
Aymara,aym,ay,,http://phoible.org/languages/ayr,Aymara/Aymara_wikipedia_symboltable.html,,,,,,,,,http://ay.wikipedia.org,models/aymara.fst(N/A)
Azerbaijani,aze,az,Azerbaijani/Azerbaijani_segments.html,http://phoible.org/inventories/view/187,Azerbaijani/Azerbaijani_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Azerbaijani_alphabet,,,,,,https://en.wiktionary.org/wiki/Appendix:Turkic_Swadesh_lists,,http://az.wikipedia.org,models/azerbaijani.fst(17.6)
Bambara,bam,bm,,http://phoible.org/languages/bam,Bambara/Bambara_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Bambara_language,,,,,,,,http://bm.wikipedia.org,models/bambara.fst(N/A)
Belarusian,bel,be,,,Belarusian/Belarusian_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Belarusian_alphabet,,,,,,https://en.wiktionary.org/wiki/Appendix:Belarusian_Swadesh_list,,http://be.wikipedia.org,models/belarusian.fst(N/A)
Bengali;Bangla,ben,bn,Bengali/Bengali_segments.html,http://phoible.org/languages/ben,Bengali/Bengali_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Bengali_language,,,,http://www.sbs.com.au/yourlanguage/bangla/,Bengali/Bengali_swadesh_list.html,https://en.wiktionary.org/wiki/Appendix:Indo-Aryan_Swadesh_lists,http://ifp-08.ifp.uiuc.edu/public/wikipedia/bn/,http://bn.wikipedia.org,models/bengali.fst(14.3)
Berber,ber,,Berber/Berber_segments.html,,Berber/Berber_Latin_wikipedia_symboltable.html;Berber/Berber_Tifinagh_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Berber_languages,,,,,,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,,,models/berber.fst(29.7)
Bosnian,bos,bs,Bosnian/Bosnian_segments.html,,Bosnian/Bosnian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Bosnian_language,,,sbs-pages/20150418/bosnian.html,http://www.sbs.com.au/yourlanguage/bosnian/,Bosnian/Bosnian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Serbo-Croatian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/bs/,http://bs.wikipedia.org,models/bosnian.fst(N/A)
Bulgarian,bul,bg,Bulgarian/Bulgarian_segments.html,http://phoible.org/languages/bul,Bulgarian/Bulgarian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Bulgarian_language,,,sbs-pages/20150418/bulgarian.html,http://www.sbs.com.au/yourlanguage/bulgarian/,Bulgarian/Bulgarian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Bulgarian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/bg/,http://bg.wikipedia.org,models/bulgarian.fst(N/A)
Burmese;Myanmar,mya,my,Burmese/Burmese_segments.html,http://phoible.org/languages/mya,Burmese/Burmese_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Burmese_language,,,sbs-pages/20150418/burmese.html,http://www.sbs.com.au/yourlanguage/burmese/,Burmese/Burmese_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Burmese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/my/,http://my.wikipedia.org,models/burmese.fst(32.8)
Cebuano,ceb,,Cebuano/Cebuano_segments.html,http://phoible.org/inventories/view/1692,Cebuano/Cebuano_wikipedia_symboltable.html,https://en.wikipedia.org/wiki/Abakada_alphabet,,,,,,,,http://ceb.wikipedia.org,models/cebuano.fst(12.5)
Croatian,hrv,hr,Croatian/Croatian_segments.html,http://phoible.org/languages/hrv,Croatian/Croatian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Croatian_language,,,sbs-pages/20150418/croatian.html,http://www.sbs.com.au/yourlanguage/croatian/,Croatian/Croatian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Serbo-Croatian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/hr/,http://hr.wikipedia.org,models/croatian.fst(13.5)
Czech,ces,cs,Czech/Czech_segments.html,http://phoible.org/languages/ces,Czech/Czech_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Czech_language,,,sbs-pages/20150418/czech.html,http://www.sbs.com.au/yourlanguage/czech/,Czech/Czech_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Czech_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/cs/,http://cs.wikipedia.org,models/czech.fst(N/A)
Danish,dan,da,Danish/Danish_segments.html,http://phoible.org/inventories/view/499,Danish/Danish_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Danish_language,,,sbs-pages/20150418/danish.html,http://www.sbs.com.au/yourlanguage/danish/,Danish/Danish_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Danish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/da/,http://da.wikipedia.org,models/danish.fst(N/A)
Dari,prs,fa,Dari/Dari_segments.html,,Dari/Dari_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Dari_language,,,sbs-pages/20150418/dari.html,http://www.sbs.com.au/yourlanguage/dari/,Dari/Dari_swadesh_list.html,https://en.wiktionary.org/wiki/Appendix:Indo-Aryan_Swadesh_lists,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fa/,http://fa.wikipedia.org,models/dari.fst(N/A)
Dinka,din,,Dinka/Dinka_segments.html,http://phoible.org/languages/din,Dinka/Dinka_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Dinka_language,,,sbs-pages/20150418/dinka.html,http://www.sbs.com.au/yourlanguage/dinka/,,,,,models/dinka.fst(N/A)
Dutch,nld,nl,Dutch/Dutch_segments.html,http://phoible.org/languages/nld,Dutch/Dutch_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Dutch_language,,,sbs-pages/20150418/dutch.html,http://www.sbs.com.au/yourlanguage/dutch/,Dutch/Dutch_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Dutch_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/nl/,http://nl.wikipedia.org,models/dutch.fst(11.8)
Egyptian Arabic,arz,,Egyptian-Arabic/Egyptian-Arabic_segments.html,http://phoible.org/languages/arz,Egyptian-Arabic/Egyptian-Arabic_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Egyptian_Arabic,Egyptian-Arabic/schmidt75dict.html;Egyptian-Arabic/schmidt75verbstems.html,,,,Egyptian-Arabic/Egyptian-Arabic_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Egyptian_Arabic_Swadesh_list,,,models/egyptian-arabic.fst(15.6)
English,eng,,English/American-English_segments.html,http://phoible.org/languages/eng,English/American-English_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/English_language,English/ISLEdict.html,http://www.speech.cs.cmu.edu/cgi-bin/cmudict;https://github.com/Hyneman/moby-project,,,English/English_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Germanic_languages,,http://en.wikipedia.org,models/english.fst(15.3);models/american-english.fst(9.8)
Estonian,est,et,Estonian/Estonian_segments.html,,Estonian/Estonian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Estonian_language,,,sbs-pages/20150418/estonian.html,http://www.sbs.com.au/yourlanguage/estonian/,Estonian/Estonian_swadesh_list.html,,http://ifp-08.ifp.uiuc.edu/public/wikipedia/et/,http://et.wikipedia.org,models/estonian.fst(N/A)
Fijian,fij,fj,Fijian/Fijian_segments.html,,Fijian/Fijian_wikipedia_symboltable.html,http://en.wikipedia.org/wiki/Fijian_language,,,sbs-pages/20150418/fijian.html,http://www.sbs.com.au/yourlanguage/fijian/,Fijian/Fijian_swadesh_list.html,http://en.wiktionary.org/wiki/Appendix:Fijian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/fj/,http://fj.wikipedia.org,models/fijian.fst(N/A)
