am Amharic
ar Arabic
bg Bulgarian
bn Bengali
bs Bosnian
cs Czech
da Danish
de German
el Greek
es Spanish
et Estonian
fa Farsi
fi Finnish
fj Fijian
fr French
gu Gujarati
he Hebrew
hi Hindi
hr Croatian
hu Hungarian
hy Armenian
id Indonesian
it Italian
ja Japanese
km Khmer
kn Kannada 
ko Korean
ku Kurdish
lo Lao
lt Lithuanian
lv Latvian
mi Maori
mk Macedonian
ml Malayalam
ms Malay
mt Maltese
my Burmese
ne Nepali
nl Dutch
no Norwegian
pa Punjabi
pl Polish
ps Pashto
pt Portuguese
ro Romanian
ru Russian
si Sinhalese
sk Slovak
sl Slovenian
sm Samoan
so Somali
sq Albanian
sr Serbian
sv Swedish
sw Swahili
ta Tamil
th Thai 
ti Tigrinya
tl Tagalog
to Tonga
tr Turkish
uk Ukrainian
ur Urdu
vi Vietnamese
yi Yiddish
zh Mandarin
zh-yue Cantonese
