IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
j̰	0002A9D045F6F82C34C822EB423E0C40	c-d	consonant			+	-	-	-	+	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
t̠ʃˀ	001066A8DCAAFCD034B8E48F6743B2AA	c-d-c-c	consonant		-	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ʊ̤ː	002A59D020AF2D2E20A02B5A89F2B6E1	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	+	-		+	-	-		-
kǀʰʷ	0037B85E5B0F6F8395FF710F82A7E1C2	c-c-c-d	consonant		+	-	-	+	+	-	-	+	-	+	+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	+	-	-	-	-			-
jɛ	0046EC085B1CC825A2B1FC80CD439CEF	c-v	consonant	-		+	-	-	-	-	+	-			+	-	-	+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		-,+	-	+,-		-
ɐˤ	004AECFBBF0E257F47B3E99E7FAE5B3E	v-c	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	+	+	-	+	-	-		+	-			-
ɛ̤ː	00E8D7AA54DA6608BA331AAA34433632	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	+	-		+	-	-		-
ɦ	010B4A2C6472D9909A0AE8C30FA45593	c	consonant			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	+	-			-	-	+	-		-	-			-
ɳɦ	011E94D43BD0189C5251607F20407A6C	c-c	consonant		-	-		-	+,-	-	-,+	+,-	+	-	-	-	-			-		-	-		-	+,-	+	-			-	+,-	-,+	-	-	-	-			-
ɡɦ	013C8CAEB0C36FBD7726B35C3E3E305B	c-c	consonant			-	-	-	+,-	-	-,+	-	-,+		+,-	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-,+	-		-	-			-
