combined_class,description,equivalence_class,frequency,id,in_inventories,jsondata,markup_description,name,pk,segment_class,total_inventories
c,LATIN SMALL LETTER M,m,0.950462963,5AE9663626770D1D4B97AAE5769AB83C,2053,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Bilabial_nasal""}",,m,28,consonant,2155
c,LATIN SMALL LETTER K,k,0.933333333,5A838FF4DABE1950734CFAFAB9383903,2016,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_velar_stop""}",,k,26,consonant,2155
v,LATIN SMALL LETTER I,i,0.925,F0585BB57111C322D6E7DABB0D01F9EA,1998,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Close_front_unrounded_vowel""}",,i,24,vowel,2155
v,LATIN SMALL LETTER A,a,0.90787037,72FB536ACFF408163656BBCDAFCAC6F6,1961,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Open_front_unrounded_vowel""}",,a,12,vowel,2155
c,LATIN SMALL LETTER J,j,0.880092593,ADF56B8E4119266843033E723A149AE2,1901,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Palatal_approximant""}",,j,27,consonant,2155
v,LATIN SMALL LETTER U,u,0.86712963,58EB693AE523323410326D60806B9ADF,1873,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Close_back_rounded_vowel""}",,u,9,vowel,2155
c,LATIN SMALL LETTER P,p,0.86712963,2D6FB64B3CDC3549EF11DB98A66A9EAD,1873,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_bilabial_stop""}",,p,32,consonant,2155
c,LATIN SMALL LETTER W,w,0.838888889,501394D0E2658752D9DA624E7DEBE14B,1812,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Labio-velar_approximant""}",,w,36,consonant,2155
c,LATIN SMALL LETTER N,n,0.806481481,E03DA215BAB0A158BA5D1CB5C4D5D6FD,1742,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Alveolar_nasal""}",,n,31,consonant,2155
c,LATIN SMALL LETTER S,s,0.769907407,7FF174469DAC4E61520F4E1610B2F088,1663,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant""}",,s,33,consonant,2155
c,LATIN SMALL LETTER T,t,0.742592593,9F90F95459807624A486F03FE5A89978,1604,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Template_talk:Braille""}",,t,35,consonant,2155
c,LATIN SMALL LETTER B,b,0.709722222,694212B746622E482E0E58D50036100E,1533,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_bilabial_stop""}",,b,51,consonant,2155
v,LATIN SMALL LETTER O,o,0.675462963,5AC0158A367D59E8C16A876321E578AB,1459,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Close-mid_back_rounded_vowel""}",,o,5,vowel,2155
v,LATIN SMALL LETTER E,e,0.675,199408E3D0668F10F475143F0E8CC0CB,1458,"{""wikipedia_url"": ""http://en.wikipedia.org//en.wikipedia.org/w/index.php?title=Template:Braille&action=edit""}",,e,21,vowel,2155
c,LATIN SMALL LETTER L,l,0.65787037,03413638BD1DFC7AEF53192FEF71F017,1421,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Alveolar_lateral_approximant""}",,l,29,consonant,2155
c,LATIN SMALL LETTER H,h,0.650462963,E7FBD92350B3CA8B7B5D77E36A607068,1405,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_glottal_fricative""}",,h,25,consonant,2155
c,LATIN SMALL LETTER SCRIPT G,?,0.638888889,ECC959553F23387998DAF88D69D7736C,1380,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_velar_stop""}",,?,98,consonant,2155
c,LATIN SMALL LETTER ENG,?,0.563425926,941ED37AAF5E9C4E1B40D85008C6B2D9,1217,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Velar_nasal""}",,?,14,consonant,2155
c,LATIN SMALL LETTER D,d,0.5375,E6253384902D489FDB1FE487B7ED4AB2,1161,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiced_alveolar_stop""}",,d,52,consonant,2155
c,LATIN SMALL LETTER N WITH LEFT HOOK,?,0.492592593,1AD6D96C35E6ADA62F1EAF5B167F75F7,1064,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Palatal_nasal""}",,?,231,consonant,2155
c,LATIN SMALL LETTER F,f,0.487962963,86E80A7DA80F7F58CA76F85BACA48F86,1054,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_labiodental_fricative""}",,f,137,consonant,2155
c-d-c,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH,t?,0.47037037,1348048F53951A5E29ABA6D5360925BA,1016,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_affricate""}",,t??,34,consonant,2155
c,LATIN LETTER GLOTTAL STOP,?,0.436111111,0844E3AEAF1C8E3837465942B92FE4C5,942,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Glottal_stop""}",,?,3,consonant,2155
v,LATIN SMALL LETTER OPEN E,?,0.425925926,8A61A9B6039DB852CE150BEC6198AFE5,920,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Open-mid_front_unrounded_vowel""}",,?,215,vowel,2155
v,LATIN SMALL LETTER OPEN O,?,0.413888889,55C328C4539D138964636333EABA3949,894,"{""wikipedia_url"": ""http://en.wikipedia.org/wiki/Open-mid_back_rounded_vowel""}",,?,50,vowel,2155
