Language,ISO 639-3,ISO 639-1,Segments -,(Source),Orthography -,(Source),Pronlex -,(Source),SBS Texts -,(Source),Swadesh Texts -,(Source),Wikitexts -,(Source)
Akan,aka,ak,Akan/Akan_segments.html,http://phoible.org/languages/aka,Akan/Akan_orthography_dict.txt,http://en.wikipedia.org/wiki/Akan_language,,,,,,,,https://ak.wikipedia.org/wiki/Akan
Albanian,als,sq,Albanian/Albanian_segments.html,http://phoible.org/languages/als,Albanian/Albanian_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Albanian_language,,,sbs-pages/20150418/albanian.txt,http://www.sbs.com.au/yourlanguage/albanian,Albanian/Albanian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Albanian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/sq/,http://sq.wikipedia.org
Amharic,amh,am,Amharic/Amharic_segments.html,http://phoible.org/languages/amh,Amharic/Amharic_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Amharic_language,,,sbs-pages/20150418/amharic.txt,http://www.sbs.com.au/yourlanguage/amharic/,Amharic/Amharic_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/am/,http://am.wikipedia.org
Arabic,arb,ar,,,Arabic/Arabic_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Arabic_language,Arabic/QACdict.txt,http://ifp-08.ifp.uiuc.edu/public/QAC/,sbs-pages/20150418/arabic.txt,http://www.sbs.com.au/yourlanguage/arabic?language=ar,Arabic/Arabic_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ar/,http://ar.wikipedia.org
Armenian,hye,hy,Armenian/Armenian_segments.html,http://phoible.org/languages/hye,Armenian/Armenian_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Armenian_language,,,sbs-pages/20150418/armenian.txt,http://www.sbs.com.au/yourlanguage/armenian/,Armenian/Armenian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Armenian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/hy/,http://hy.wikipedia.org
Assyrian,aii,,,,Assyrian/Assyrian_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Assyrian_Neo-Aramaic,,,sbs-pages/20150418/assyrian.txt,http://www.sbs.com.au/yourlanguage/assyrian/,Assyrian/Assyrian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Afro-Asiatic_languages,,
Bengali,ben,bn,Bangla/Bangla_segments.html,http://phoible.org/languages/ben,Bangla/Bangla_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Bengali_language,,,sbs-pages/20150418/bangla.txt,http://www.sbs.com.au/yourlanguage/bangla/,Bangla/Bangla_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists_(extended),http://ifp-08.ifp.uiuc.edu/public/wikipedia/bn/,http://bn.wikipedia.org
Berber,shi;kab;tzm;rif;shy;tmh,,Berber/Berber_segments.html,http://phoible.org/languages/sjs,Berber/Berber_Latin_orthography_dict.txt;Berber/Berber_Tifinagh_orthography_dict.txt,https://en.wikipedia.org/wiki/Berber_Latin_alphabet;https://en.wikipedia.org/wiki/Tifinagh,,,sbs-pages/20150418/berber.txt,,,https://en.wiktionary.org/wiki/Appendix:Afro-Asiatic_Swadesh_lists,,
Bosnian,bos,bs,,,Bosnian/Bosnian_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Bosnian_language,,,sbs-pages/20150418/bosnian.txt,http://www.sbs.com.au/yourlanguage/bosnian/,Bosnian/Bosnian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Serbo-Croatian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/bs/,http://bs.wikipedia.org
Bulgarian,bul,bg,Bulgarian/Bulgarian_segments.html,http://phoible.org/languages/bul,Bulgarian/Bulgarian_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Bulgarian_language,,,sbs-pages/20150418/bulgarian.txt,http://www.sbs.com.au/yourlanguage/bulgarian/,Bulgarian/Bulgarian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Bulgarian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/bg/,http://bg.wikipedia.org
